Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_0603_1608Metric,159.5,-120.0,0.0,top
C2,C3 220nf,C_0603_1608Metric,165.0,-122.25,180.0,top
C3,C4 10µf,C_1206_3216Metric,165.0,-124.5,180.0,top
C4,10µf,C_1206_3216Metric,133.75,-107.5,0.0,top
C5,10µf,C_1206_3216Metric,133.75,-110.75,180.0,top
D1,1N5819WS 1A 40V,D_SOD-323,141.0,-124.5,180.0,top
D2,1N5819WS 1A 40V,D_SOD-323,133.75,-105.0,180.0,top
J1,USB_C_Receptacle_USB2.0,TYPE-C-31-M-12,131.6625,-128.0,-90.0,top
Q1,AON7524,TRANS_AON7403,180.0,-104.0,90.0,top
Q2,AON7524,TRANS_AON7403,175.0,-104.0,90.0,top
Q3,AON7524,TRANS_AON7403,170.0,-104.0,90.0,top
Q4,AON7524,TRANS_AON7403,165.0,-104.0,90.0,top
Q5,AON7524,TRANS_AON7403,155.5,-104.0,90.0,top
Q6,AON7524,TRANS_AON7403,150.5,-104.0,90.0,top
R1,10k,R_0603_1608Metric,159.5,-121.5,0.0,top
R2,5.1k,R_0603_1608Metric,141.0,-126.75,0.0,top
R3,5.1k,R_0603_1608Metric,141.0,-129.75,180.0,top
R4,100,R_0603_1608Metric,164.925,-114.5,180.0,top
R5,100,R_0603_1608Metric,164.925,-116.0,180.0,top
R6,100,R_0603_1608Metric,164.925,-117.5,180.0,top
R7,100,R_0603_1608Metric,159.5,-114.5,180.0,top
R8,100,R_0603_1608Metric,159.5,-116.0,180.0,top
R9,100,R_0603_1608Metric,159.5,-117.5,180.0,top
R10,10k,R_0603_1608Metric,165.0,-120.0,0.0,top
R11,10k,R_0603_1608Metric,159.5,-123.0,180.0,top
SW1,BOOT,SW_Push_1P1T_XKB_TS-1187A,152.5,-116.5,180.0,top
SW2,RESET,SW_Push_1P1T_XKB_TS-1187A,152.5,-123.0,180.0,top
